work_year,job_title,job_category,salary_currency,salary,salary_in_usd,employee_residence,experience_level,employment_type,work_setting,company_location,company_size
2020,Data Scientist,Data Science,us dolars,171841,171841.0,CN,EX,PT,Hybrid,US,S
2020,Data Scientist,Data Science,us dolars,197820,197820.0,JP,EX,FL,Remote,US,L
2020,Statistician,Analysis ,us dolars,46151,46151.0,JP,EN,FL,Hybrid,CN,M
2020,Data Analyst,Analysis,us dolars,106133,106133.0,IN,SE,FT,Hybrid,CN,M
2021,Data Scientist,Data Science,JPY,64187,584.1017,DE,EN,CT,Remote,JP,S
2022,Data Engineer,Data Engineer,INR,73835,922.9375,MX,EN,CT,Hybrid,IN,S
2021,AI Engineer,CV/AI,us dolars,30059,30059.0,JP,EN,FT,In-person,CN,L
2020,Data Scientist,Data Science,GBP,57235,74405.5,IN,MI,PT,Remote,UK,M
2021,Data Scientist,Data Science,INR,124208,1664.3872000000001,IN,EN,CT,In-person,IN,L
2022,Data Engineer,Data Engineer,us dolars,97114,97114.0,CN,MI,CT,In-person,CN,L
2022,Data Analyst,Analysis,INR,159191,1989.8875,IN,EN,FT,In-person,IN,S
2021,Data Scientist,Data Science,us dolars,142831,142831.0,US,SE,PT,In-person,MX,S
2021,Data Scientist,Data Science,GBP,151889,209606.81999999998,MX,EX,FL,In-person,UK,S
2021,Data Analyst,Analysis,INR,111583,1495.2122,JP,EN,FL,Remote,IN,L
2020,Data Engineer,Data Engineer,INR,62160,839.16,JP,EN,CT,Remote,IN,S
2021,Data Scientist,Data Science,EUR,129011,157393.41999999998,UK,EX,FL,In-person,DE,M
2021,Data Analyst,Analysis,JPY,35277,321.02070000000003,US,EN,FT,Hybrid,JP,M
2021,Data Scientist,Data Science,us dolars,162852,162852.0,JP,EX,CT,Hybrid,US,M
2022,Deep Learning,DL/AI,us dolars,147101,147101.0,CN,SE,CT,In-person,CN,M
2022,Statistician,Analysis ,us dolars,90750,90750.0,JP,MI,PT,Remote,MX,S
2020,Machine Learning,ML/AI,us dolars,86902,86902.0,UK,MI,FL,Remote,CN,S
2020,Data Scientist,Data Science,us dolars,146849,146849.0,DE,SE,PT,Hybrid,CN,S
2022,Data Engineer,Data Engineer,JPY,127052,1092.6472,DE,EN,CT,Remote,JP,S
2022,Statistician,Analysis ,INR,157894,1973.6750000000002,US,EN,FL,In-person,IN,L
2022,Deep Learning,DL/AI,GBP,193233,237676.59,IN,EX,PT,Hybrid,UK,S
2021,Data Analyst,Analysis,GBP,192958,266282.04,UK,EX,FL,In-person,UK,S
2021,Data Engineer,Data Engineer,us dolars,169872,169872.0,UK,EX,CT,Remote,US,M
2022,Machine Learning,ML/AI,us dolars,79460,79460.0,JP,MI,CT,Hybrid,US,L
2021,Data Analyst,Analysis,us dolars,159424,159424.0,CN,EX,CT,Remote,US,S
2021,Data Scientist,Data Science,GBP,100975,139345.5,JP,SE,FT,Hybrid,UK,L
2020,Data Analyst,Analysis,INR,163436,2206.386,CN,EN,PT,Remote,IN,L
2022,Deep Learning,DL/AI,us dolars,46568,46568.0,UK,EN,PT,Hybrid,US,L
2022,AI Engineer,CV/AI,us dolars,199164,199164.0,IN,EX,CT,Hybrid,US,L
2021,Data Scientist,Data Science,us dolars,92679,92679.0,DE,MI,PT,Hybrid,MX,M
2022,Data Analyst,Analysis,GBP,95781,117810.63,US,SE,CT,In-person,UK,M
2020,Data Analyst,Analysis,us dolars,38430,38430.0,MX,EN,PT,Remote,CN,L
2020,Data Scientist,Data Science,INR,68692,927.342,CN,EN,FL,Remote,IN,L
2020,Data Analyst,Analysis,us dolars,60086,60086.0,DE,MI,PT,Hybrid,US,L
2022,Data Scientist,Data Science,INR,79671,995.8875,US,EN,CT,In-person,IN,M
2022,Data Engineer,Data Engineer,EUR,174973,187221.11000000002,IN,EX,PT,Hybrid,DE,M
2022,AI Engineer,CV/AI,us dolars,33907,33907.0,UK,EN,FL,Remote,CN,S
2022,Data Engineer,Data Engineer,us dolars,58604,58604.0,IN,MI,FL,Remote,CN,L
2022,Statistician,Analysis ,us dolars,67869,67869.0,CN,MI,FL,Hybrid,US,S
2020,Statistician,Analysis ,us dolars,175609,175609.0,UK,EX,CT,Hybrid,US,L
2021,Statistician,Analysis ,us dolars,173573,173573.0,JP,EX,FT,Hybrid,MX,M
2020,Data Scientist,Data Science,GBP,149261,194039.30000000002,US,EX,CT,Remote,UK,S
2022,Data Analyst,Analysis,us dolars,198443,198443.0,JP,EX,FL,Hybrid,CN,S
2020,Data Engineer,Data Engineer,us dolars,144639,144639.0,UK,SE,PT,Hybrid,MX,M
2022,Data Engineer,Data Engineer,EUR,141690,151608.30000000002,MX,EX,FL,Remote,DE,M
2022,Data Engineer,Data Engineer,EUR,197893,211745.51,US,EX,FT,Hybrid,DE,S
2020,Data Engineer,Data Engineer,EUR,155592,183598.56,US,EX,FT,In-person,DE,S
2022,Statistician,Analysis ,JPY,36073,310.2278,JP,EN,FL,In-person,JP,S
2021,Data Engineer,Data Engineer,GBP,48101,66379.37999999999,US,MI,CT,Hybrid,UK,L
2022,Data Analyst,Analysis,GBP,192498,236772.54,UK,EX,FT,In-person,UK,S
2021,Statistician,Analysis ,us dolars,124877,124877.0,MX,SE,FL,Remote,US,S
2021,Data Engineer,Data Engineer,GBP,37313,51491.939999999995,CN,MI,CT,Remote,UK,L
2022,Data Scientist,Data Science,us dolars,191845,191845.0,CN,EX,PT,In-person,US,L
2020,Machine Learning,ML/AI,us dolars,189075,189075.0,UK,EX,CT,Hybrid,MX,S
2021,AI Engineer,CV/AI,us dolars,89668,89668.0,JP,MI,FT,Hybrid,US,L
2020,Deep Learning,DL/AI,JPY,121956,1146.3864,IN,EN,CT,Hybrid,JP,S
2021,Statistician,Analysis ,us dolars,145087,145087.0,UK,SE,CT,Remote,MX,L
2022,Data Engineer,Data Engineer,GBP,149451,183824.73,CN,EX,PT,Remote,UK,M
2022,Statistician,Analysis ,GBP,122675,150890.25,UK,EX,FL,In-person,UK,S
2021,Data Analyst,Analysis,JPY,121634,1106.8694,US,EN,CT,Hybrid,JP,M
2022,Data Scientist,Data Science,JPY,174654,1502.0244,US,EN,PT,Hybrid,JP,M
2021,Data Scientist,Data Science,us dolars,139119,139119.0,UK,SE,FT,Remote,MX,M
2022,AI Engineer,CV/AI,us dolars,174832,174832.0,JP,EX,FL,In-person,MX,L
2020,Deep Learning,DL/AI,GBP,101791,132328.30000000002,IN,SE,FT,Hybrid,UK,L
2022,Deep Learning,DL/AI,GBP,112158,137954.34,US,SE,FL,In-person,UK,M
2020,Data Engineer,Data Engineer,us dolars,197055,197055.0,CN,EX,CT,Remote,MX,M
2022,Data Analyst,Analysis,us dolars,59715,59715.0,MX,MI,CT,Hybrid,US,S
2020,Data Analyst,Analysis,INR,197487,2666.0745,US,EN,FL,In-person,IN,M
2022,Data Analyst,Analysis,us dolars,118260,118260.0,CN,SE,FT,In-person,CN,L
2020,Data Analyst,Analysis,us dolars,164724,164724.0,MX,EX,FT,In-person,US,L
2021,Machine Learning,ML/AI,EUR,56297,68682.34,IN,MI,FT,Hybrid,DE,M
2021,Data Scientist,Data Science,EUR,175100,213622.0,MX,EX,CT,In-person,DE,L
2020,AI Engineer,CV/AI,INR,174875,2360.8125,US,EN,FL,In-person,IN,S
2022,Data Analyst,Analysis,us dolars,36307,36307.0,MX,EN,FL,Remote,CN,L
2020,Machine Learning,ML/AI,JPY,192397,1808.5318,JP,EN,FT,In-person,JP,M
2022,Data Analyst,Analysis,EUR,88616,94819.12000000001,CN,MI,CT,In-person,DE,L
2021,Statistician,Analysis ,JPY,192646,1753.0786,US,EN,FL,Hybrid,JP,S
2022,Data Scientist,Data Science,JPY,149828,1288.5208,US,EN,FL,In-person,JP,S
2021,Statistician,Analysis ,us dolars,176004,176004.0,UK,EX,FT,Hybrid,US,L
2022,Data Engineer,Data Engineer,JPY,176821,1520.6606,JP,EN,FT,In-person,JP,S
2022,Deep Learning,DL/AI,INR,38727,484.08750000000003,JP,EN,FL,Hybrid,IN,S
2022,Data Engineer,Data Engineer,us dolars,47332,47332.0,UK,EN,CT,Hybrid,US,L
2020,Deep Learning,DL/AI,INR,171906,2320.7309999999998,MX,EN,PT,Remote,IN,L
2020,Statistician,Analysis ,JPY,181397,1705.1318,CN,EN,FL,In-person,JP,L
2021,Data Analyst,Analysis,EUR,170285,207747.69999999998,DE,EX,FL,In-person,DE,M
2021,Data Analyst,Analysis,us dolars,143741,143741.0,IN,SE,CT,Remote,CN,S
2020,AI Engineer,CV/AI,JPY,162475,1527.265,JP,EN,FL,In-person,JP,S
2021,Data Analyst,Analysis,INR,86971,1165.4114,DE,EN,PT,Hybrid,IN,S
2020,Statistician,Analysis ,GBP,103042,133954.6,CN,SE,CT,Remote,UK,L
2022,Data Analyst,Analysis,GBP,125195,153989.85,IN,EX,PT,Remote,UK,S
2021,Statistician,Analysis ,EUR,168663,205768.86,JP,EX,PT,Hybrid,DE,S
2021,Data Engineer,Data Engineer,us dolars,157144,157144.0,US,EX,FL,In-person,MX,M
2020,Statistician,Analysis ,us dolars,42996,42996.0,JP,EN,PT,Remote,CN,L
2021,Data Scientist,Data Science,INR,82485,1105.299,IN,EN,FL,In-person,IN,S
2021,Data Scientist,Data Science,EUR,77830,94952.59999999999,MX,MI,FL,Hybrid,DE,L
2022,Data Scientist,Data Science,us dolars,64370,64370.0,DE,MI,CT,Hybrid,US,L
2021,Machine Learning,ML/AI,JPY,87572,796.9052,MX,EN,CT,Hybrid,JP,L
2022,Machine Learning,ML/AI,us dolars,59098,59098.0,US,MI,CT,Hybrid,MX,S
2020,Machine Learning,ML/AI,us dolars,32196,32196.0,IN,EN,FL,Hybrid,US,L
2021,Statistician,Analysis ,GBP,172163,237584.93999999997,CN,EX,PT,Hybrid,UK,L
2022,Machine Learning,ML/AI,JPY,79262,681.6532,MX,EN,PT,In-person,JP,S
2020,Data Engineer,Data Engineer,us dolars,167095,167095.0,IN,EX,CT,Remote,US,M
2021,Data Scientist,Data Science,GBP,50543,69749.34,JP,MI,CT,Hybrid,UK,M
2020,Statistician,Analysis ,us dolars,132171,132171.0,CN,SE,FL,In-person,CN,S
2021,Data Scientist,Data Science,us dolars,100540,100540.0,UK,SE,FT,In-person,US,M
2020,Machine Learning,ML/AI,JPY,171035,1607.729,UK,EN,FT,Hybrid,JP,L
2020,Statistician,Analysis ,us dolars,174868,174868.0,MX,EX,FL,Hybrid,US,S
2022,Data Analyst,Analysis,us dolars,70972,70972.0,US,MI,FT,Remote,MX,L
2020,Data Engineer,Data Engineer,us dolars,102613,102613.0,IN,SE,FT,Remote,MX,L
2021,Machine Learning,ML/AI,JPY,125384,1140.9944,DE,EN,FT,Remote,JP,S
2021,AI Engineer,CV/AI,us dolars,108062,108062.0,US,SE,CT,In-person,US,L
2022,Data Engineer,Data Engineer,EUR,33261,35589.270000000004,CN,EN,PT,Remote,DE,S
2021,Data Engineer,Data Engineer,us dolars,47046,47046.0,MX,EN,PT,Remote,CN,S
2021,Data Analyst,Analysis,us dolars,43397,43397.0,US,EN,CT,In-person,US,M
2021,Machine Learning,ML/AI,us dolars,120805,120805.0,MX,SE,CT,Hybrid,US,L
2020,Deep Learning,DL/AI,us dolars,55757,55757.0,JP,MI,CT,Hybrid,MX,L
2020,Data Scientist,Data Science,us dolars,176371,176371.0,CN,EX,FT,Hybrid,MX,S
2021,Statistician,Analysis ,EUR,162974,198828.28,DE,EX,FL,In-person,DE,M
2022,Statistician,Analysis ,us dolars,148859,148859.0,IN,SE,FL,In-person,MX,L
2020,Data Scientist,Data Science,GBP,72399,94118.7,CN,MI,FT,Remote,UK,L
2022,Statistician,Analysis ,JPY,78330,673.638,IN,EN,FT,Hybrid,JP,S
2021,Data Engineer,Data Engineer,INR,164918,2209.9012000000002,IN,EN,CT,In-person,IN,S
2021,Statistician,Analysis ,GBP,173431,239334.77999999997,US,EX,CT,Hybrid,UK,M
2020,Statistician,Analysis ,JPY,98056,921.7264,JP,EN,PT,In-person,JP,M
2021,Data Scientist,Data Science,us dolars,70832,70832.0,US,MI,CT,In-person,US,M
2020,Data Analyst,Analysis,GBP,181170,235521.0,UK,EX,FT,In-person,UK,L
2021,Statistician,Analysis ,us dolars,147095,147095.0,UK,SE,PT,Remote,US,M
2021,Statistician,Analysis ,GBP,134987,186282.06,IN,EX,CT,Hybrid,UK,M
2020,Data Analyst,Analysis,GBP,118672,154273.6,JP,EX,PT,Remote,UK,S
2020,Data Scientist,Data Science,INR,65885,889.4475,CN,EN,PT,Remote,IN,S
2020,Data Analyst,Analysis,EUR,51157,60365.259999999995,IN,MI,CT,Remote,DE,L
2021,Data Scientist,Data Science,GBP,49674,68550.12,CN,MI,FL,Hybrid,UK,S
2021,Data Engineer,Data Engineer,us dolars,62357,62357.0,IN,MI,FT,Remote,MX,S
2022,Data Scientist,Data Science,us dolars,42578,42578.0,US,EN,FT,In-person,US,S
2020,Data Engineer,Data Engineer,INR,158457,2139.1695,IN,EN,PT,In-person,IN,S
2021,Data Engineer,Data Engineer,GBP,163323,225385.74,IN,EX,FL,In-person,UK,S
2021,Data Scientist,Data Science,us dolars,198501,198501.0,JP,EX,FL,Hybrid,MX,S
2020,Deep Learning,DL/AI,EUR,186571,220153.78,JP,EX,CT,Hybrid,DE,S
2022,Data Scientist,Data Science,us dolars,167493,167493.0,MX,EX,CT,Hybrid,US,M
2020,Statistician,Analysis ,INR,185663,2506.4505,CN,EN,FT,Hybrid,IN,S
2022,Statistician,Analysis ,JPY,133229,1145.7694,JP,EN,CT,In-person,JP,S
2021,Machine Learning,ML/AI,us dolars,173274,173274.0,IN,EX,CT,Remote,CN,M
2022,Data Engineer,Data Engineer,EUR,153981,164759.67,JP,EX,PT,Hybrid,DE,L
2021,AI Engineer,CV/AI,us dolars,180362,180362.0,JP,EX,FL,Hybrid,MX,L
2020,Statistician,Analysis ,JPY,179202,1684.4988,DE,EN,FL,In-person,JP,L
2020,AI Engineer,CV/AI,JPY,67077,630.5238,DE,EN,CT,Hybrid,JP,L
2020,Data Scientist,Data Science,INR,145136,1959.336,UK,EN,CT,In-person,IN,M
2022,Deep Learning,DL/AI,INR,180468,2255.85,US,EN,CT,Hybrid,IN,L
2021,Data Engineer,Data Engineer,INR,90530,1213.102,MX,EN,FT,Hybrid,IN,S
2020,Data Scientist,Data Science,us dolars,148179,148179.0,MX,SE,FT,In-person,MX,S
2020,Data Analyst,Analysis,us dolars,57122,57122.0,US,MI,PT,Hybrid,MX,L
2021,Statistician,Analysis ,JPY,59381,540.3671,JP,EN,FT,In-person,JP,M
2020,Statistician,Analysis ,us dolars,135614,135614.0,UK,SE,FL,Remote,CN,S
2021,AI Engineer,CV/AI,us dolars,184339,184339.0,UK,EX,FT,In-person,US,S
2021,Data Scientist,Data Science,INR,143271,1919.8314,CN,EN,FL,Hybrid,IN,M
2021,Data Analyst,Analysis,EUR,168160,205155.19999999998,MX,EX,FT,Remote,DE,M
2021,Data Scientist,Data Science,INR,127354,1706.5436,DE,EN,FT,In-person,IN,S
2021,Statistician,Analysis ,us dolars,157728,157728.0,UK,EX,PT,Hybrid,CN,S
2022,Data Scientist,Data Science,INR,42822,535.275,IN,EN,CT,In-person,IN,L
2020,Data Analyst,Analysis,us dolars,197661,197661.0,CN,EX,CT,In-person,CN,M
2022,Deep Learning,DL/AI,INR,162508,2031.3500000000001,MX,EN,CT,In-person,IN,S
2020,Data Engineer,Data Engineer,JPY,141201,1327.2894000000001,JP,EN,PT,In-person,JP,S
2022,Data Scientist,Data Science,us dolars,57281,57281.0,IN,MI,FL,In-person,CN,M
2021,Data Engineer,Data Engineer,us dolars,118017,118017.0,US,SE,FT,In-person,US,M
2020,Statistician,Analysis ,INR,126005,1701.0674999999999,MX,EN,PT,Hybrid,IN,S
2020,AI Engineer,CV/AI,JPY,114403,1075.3882,DE,EN,FL,Hybrid,JP,M
2022,AI Engineer,CV/AI,EUR,136023,145544.61000000002,IN,SE,PT,In-person,DE,S
2022,Data Scientist,Data Science,us dolars,52766,52766.0,JP,MI,PT,Hybrid,US,S
2020,Deep Learning,DL/AI,JPY,182285,1713.479,IN,EN,FL,Remote,JP,L
2022,Data Scientist,Data Science,us dolars,123891,123891.0,IN,SE,CT,In-person,CN,L
2022,Data Scientist,Data Science,GBP,92239,113453.97,UK,SE,FT,In-person,UK,M
2022,Data Engineer,Data Engineer,EUR,183609,196461.63,DE,EX,CT,In-person,DE,M
2021,Deep Learning,DL/AI,EUR,163866,199916.52,US,EX,PT,Remote,DE,S
2021,Data Scientist,Data Science,GBP,193396,266886.48,JP,EX,FL,Remote,UK,L
2022,Data Engineer,Data Engineer,JPY,86764,746.1704,CN,EN,PT,Hybrid,JP,M
2022,Data Analyst,Analysis,JPY,60858,523.3788,CN,EN,CT,In-person,JP,S
2021,Data Engineer,Data Engineer,us dolars,72850,72850.0,JP,MI,CT,Remote,MX,L
2021,Data Engineer,Data Engineer,us dolars,174090,174090.0,US,EX,CT,Hybrid,CN,S
2020,Data Scientist,Data Science,EUR,157171,185461.78,JP,EX,FT,Remote,DE,L
2020,Statistician,Analysis ,us dolars,113017,113017.0,UK,SE,CT,Remote,MX,S
2021,Statistician,Analysis ,JPY,80790,735.1890000000001,CN,EN,FT,Remote,JP,L
2022,Statistician,Analysis ,GBP,111120,136677.6,MX,SE,FT,Hybrid,UK,S
2022,Data Engineer,Data Engineer,us dolars,39850,39850.0,CN,EN,CT,Remote,MX,S
2022,Data Scientist,Data Science,JPY,136759,1176.1274,MX,EN,FL,Remote,JP,M
2022,Deep Learning,DL/AI,EUR,95696,102394.72,IN,SE,PT,Remote,DE,L
2020,Data Engineer,Data Engineer,JPY,186904,1756.8976,UK,EN,PT,In-person,JP,L
2021,Data Engineer,Data Engineer,us dolars,117826,117826.0,CN,SE,FT,Remote,US,M
2022,Data Scientist,Data Science,GBP,185958,228728.34,UK,EX,FT,In-person,UK,M
2020,Data Analyst,Analysis,GBP,169490,220337.0,UK,EX,FT,In-person,UK,S
2022,Data Engineer,Data Engineer,INR,153152,1914.4,US,EN,PT,In-person,IN,L
2021,Data Analyst,Analysis,JPY,37081,337.43710000000004,CN,EN,FT,Remote,JP,S
2020,Data Analyst,Analysis,us dolars,132716,132716.0,MX,SE,FL,In-person,CN,S
2021,Statistician,Analysis ,GBP,171186,236236.68,DE,EX,FL,In-person,UK,S
2021,Data Scientist,Data Science,JPY,48722,443.3702,MX,EN,FT,In-person,JP,M
2020,Data Analyst,Analysis,us dolars,117508,117508.0,US,SE,PT,In-person,US,L
2020,Data Scientist,Data Science,us dolars,159752,159752.0,US,EX,CT,Hybrid,MX,M
2020,Statistician,Analysis ,EUR,47985,56622.299999999996,UK,MI,PT,In-person,DE,M
2020,Data Scientist,Data Science,EUR,166960,197012.8,DE,EX,CT,In-person,DE,L
2020,Data Engineer,Data Engineer,INR,150234,2028.1589999999999,US,EN,CT,In-person,IN,S
2020,Data Analyst,Analysis,INR,113845,1536.9075,DE,EN,FT,In-person,IN,M
2020,Data Scientist,Data Science,us dolars,153446,153446.0,CN,EX,FL,In-person,CN,S
2022,Machine Learning,ML/AI,GBP,180371,221856.33,UK,EX,FT,In-person,UK,M
2021,Data Scientist,Data Science,us dolars,136747,136747.0,US,SE,CT,Remote,CN,L
2020,Data Analyst,Analysis,GBP,52036,67646.8,DE,MI,FT,Hybrid,UK,L
2022,Statistician,Analysis ,GBP,59346,72995.58,JP,MI,CT,Remote,UK,S
2022,Statistician,Analysis ,us dolars,143507,143507.0,MX,SE,FT,Hybrid,US,L
2022,Data Analyst,Analysis,INR,144673,1808.4125000000001,US,EN,FL,Remote,IN,S
2021,Data Engineer,Data Engineer,INR,56691,759.6594,US,EN,FL,In-person,IN,L
2020,Data Engineer,Data Engineer,EUR,135578,159982.03999999998,US,EX,PT,Remote,DE,L
2022,Statistician,Analysis ,INR,47986,599.825,DE,EN,CT,Remote,IN,L
2021,Statistician,Analysis ,INR,188918,2531.5012,IN,EN,CT,In-person,IN,M
2021,Data Analyst,Analysis,us dolars,79665,79665.0,CN,MI,FT,In-person,US,S
2021,Data Engineer,Data Engineer,us dolars,143408,143408.0,MX,SE,PT,Remote,CN,S
2022,Statistician,Analysis ,GBP,103728,127585.44,US,SE,FL,Remote,UK,M
2020,Data Engineer,Data Engineer,us dolars,80054,80054.0,JP,MI,FT,In-person,CN,M
2022,Statistician,Analysis ,us dolars,199559,199559.0,JP,EX,PT,Hybrid,MX,S
2022,Data Scientist,Data Science,us dolars,170484,170484.0,UK,EX,FL,In-person,MX,S
2020,Deep Learning,DL/AI,us dolars,111499,111499.0,IN,SE,FT,Remote,US,L
2020,Data Scientist,Data Science,JPY,129159,1214.0946000000001,IN,EN,FL,Remote,JP,L
2020,Statistician,Analysis ,EUR,96553,113932.54,DE,SE,CT,In-person,DE,S
2021,Machine Learning,ML/AI,EUR,35279,43040.38,UK,EN,PT,In-person,DE,L
2020,Deep Learning,DL/AI,EUR,37712,44500.159999999996,MX,EN,FL,In-person,DE,S
2022,Statistician,Analysis ,us dolars,45817,45817.0,DE,EN,PT,Hybrid,CN,M
2020,Statistician,Analysis ,GBP,123616,160700.80000000002,UK,EX,FT,In-person,UK,S
2022,Data Engineer,Data Engineer,GBP,167696,206266.08,CN,EX,PT,Remote,UK,S
2021,Statistician,Analysis ,GBP,190198,262473.24,IN,EX,FT,In-person,UK,L
2022,Data Analyst,Analysis,EUR,110667,118413.69,MX,SE,PT,Remote,DE,S
2022,Statistician,Analysis ,EUR,198534,212431.38,CN,EX,FT,Hybrid,DE,S
2020,Data Analyst,Analysis,us dolars,56093,56093.0,MX,MI,FT,In-person,CN,S
2020,Statistician,Analysis ,us dolars,141030,141030.0,DE,SE,FT,Remote,CN,M
2022,Data Engineer,Data Engineer,us dolars,147385,147385.0,UK,SE,FL,In-person,MX,L
2020,Data Analyst,Analysis,EUR,193597,228444.46,IN,EX,CT,In-person,DE,L
2021,Data Scientist,Data Science,JPY,59030,537.173,IN,EN,PT,Hybrid,JP,S
2021,Data Analyst,Analysis,JPY,74067,674.0097000000001,MX,EN,CT,In-person,JP,S
2020,Data Engineer,Data Engineer,us dolars,166279,166279.0,MX,EX,CT,In-person,MX,M
2021,Data Analyst,Analysis,us dolars,106433,106433.0,MX,SE,CT,Hybrid,CN,L
2020,Statistician,Analysis ,EUR,56639,66834.01999999999,US,MI,CT,In-person,DE,L
2022,Statistician,Analysis ,GBP,163864,201552.72,DE,EX,PT,Remote,UK,S
2022,Data Engineer,Data Engineer,GBP,30420,37416.6,US,EN,PT,In-person,UK,M
2021,Machine Learning,ML/AI,JPY,49198,447.70180000000005,MX,EN,CT,In-person,JP,M
2020,Statistician,Analysis ,JPY,196680,1848.7920000000001,MX,EN,PT,Hybrid,JP,S
2020,Data Scientist,Data Science,EUR,112951,133282.18,IN,SE,PT,Hybrid,DE,S
2021,Data Engineer,Data Engineer,EUR,47875,58407.5,DE,MI,FT,In-person,DE,S
2022,Data Analyst,Analysis,GBP,100511,123628.53,DE,SE,PT,Hybrid,UK,S
2021,Data Analyst,Analysis,us dolars,121997,121997.0,CN,SE,FL,In-person,CN,S
2022,Data Scientist,Data Science,INR,51331,641.6375,JP,EN,CT,In-person,IN,M
2020,Statistician,Analysis ,us dolars,46893,46893.0,UK,EN,PT,Hybrid,CN,M
2022,Data Engineer,Data Engineer,us dolars,48243,48243.0,JP,EN,CT,Remote,MX,S
2021,Data Scientist,Data Science,GBP,45535,62838.299999999996,JP,MI,PT,Hybrid,UK,S
2020,Statistician,Analysis ,us dolars,97394,97394.0,MX,MI,CT,In-person,CN,L
2021,Data Engineer,Data Engineer,GBP,186561,257454.18,IN,EX,FL,Hybrid,UK,M
2021,Data Analyst,Analysis,EUR,109214,133241.08,CN,SE,PT,In-person,DE,M
2022,Data Engineer,Data Engineer,INR,150295,1878.6875,UK,EN,PT,In-person,IN,S
2021,AI Engineer,CV/AI,INR,130369,1746.9446,MX,EN,FL,Remote,IN,M
2022,Data Engineer,Data Engineer,us dolars,142695,142695.0,MX,SE,PT,In-person,MX,M
2020,Deep Learning,DL/AI,EUR,43346,51148.28,JP,MI,CT,Hybrid,DE,M
2022,Data Engineer,Data Engineer,us dolars,167845,167845.0,JP,EX,FL,In-person,US,S
2020,AI Engineer,CV/AI,EUR,152580,180044.4,DE,EX,FT,In-person,DE,M
2022,Data Analyst,Analysis,JPY,105324,905.7864,IN,EN,CT,In-person,JP,S
2021,Statistician,Analysis ,us dolars,193415,193415.0,JP,EX,PT,Remote,CN,M
2022,Machine Learning,ML/AI,INR,132746,1659.325,UK,EN,CT,Hybrid,IN,M
2022,Deep Learning,DL/AI,us dolars,104783,104783.0,US,SE,FL,In-person,MX,L
2020,Data Analyst,Analysis,EUR,197044,232511.91999999998,MX,EX,PT,Hybrid,DE,M
2021,Machine Learning,ML/AI,GBP,46959,64803.42,US,MI,PT,Hybrid,UK,L
2022,Data Scientist,Data Science,GBP,119343,146791.88999999998,IN,SE,FL,Remote,UK,L
2021,Data Analyst,Analysis,us dolars,195205,195205.0,US,EX,FT,In-person,CN,S
2022,Data Scientist,Data Science,GBP,81150,99814.5,DE,MI,PT,Remote,UK,M
2022,Data Analyst,Analysis,us dolars,51734,51734.0,DE,MI,PT,Remote,MX,S
2021,Machine Learning,ML/AI,EUR,47400,57828.0,UK,MI,PT,Remote,DE,S
2022,Data Scientist,Data Science,us dolars,181074,181074.0,CN,EX,FT,In-person,US,M
2021,Deep Learning,DL/AI,us dolars,128329,128329.0,IN,SE,CT,In-person,MX,L
2022,Data Analyst,Analysis,JPY,154438,1328.1668,IN,EN,FT,Hybrid,JP,S
2020,AI Engineer,CV/AI,GBP,197564,256833.2,MX,EX,CT,In-person,UK,M
2021,Data Scientist,Data Science,EUR,127753,155858.66,US,EX,PT,Remote,DE,S
2022,Data Scientist,Data Science,us dolars,138863,138863.0,JP,SE,CT,In-person,US,M
2022,Deep Learning,DL/AI,INR,191947,2399.3375,JP,EN,CT,Hybrid,IN,L
2020,Data Engineer,Data Engineer,us dolars,186118,186118.0,CN,EX,CT,Remote,MX,S
2021,Data Analyst,Analysis,us dolars,184736,184736.0,MX,EX,CT,In-person,MX,M
2022,Data Analyst,Analysis,us dolars,185525,185525.0,JP,EX,PT,In-person,MX,M
2020,Machine Learning,ML/AI,us dolars,34746,34746.0,CN,EN,FL,Hybrid,MX,S
2022,Data Engineer,Data Engineer,INR,153765,1922.0625,MX,EN,FT,Hybrid,IN,M
2021,Data Scientist,Data Science,us dolars,174289,174289.0,UK,EX,CT,In-person,CN,S
2022,Statistician,Analysis ,JPY,93184,801.3824,IN,EN,PT,Hybrid,JP,M
2022,Statistician,Analysis ,EUR,118898,127220.86,US,SE,PT,In-person,DE,S
2022,AI Engineer,CV/AI,EUR,71835,76863.45000000001,UK,MI,PT,Remote,DE,L
2022,Data Engineer,Data Engineer,GBP,39133,48133.59,DE,EN,PT,Hybrid,UK,S
2020,Data Engineer,Data Engineer,us dolars,131345,131345.0,DE,SE,CT,Remote,US,M
2020,Data Analyst,Analysis,JPY,70533,663.0102,DE,EN,FT,In-person,JP,L
2021,Data Scientist,Data Science,us dolars,166476,166476.0,CN,EX,PT,In-person,US,L
2020,Data Engineer,Data Engineer,us dolars,194411,194411.0,CN,EX,FT,Hybrid,MX,S
2020,Statistician,Analysis ,us dolars,58725,58725.0,MX,MI,FT,In-person,MX,S
2021,Data Scientist,Data Science,us dolars,157240,157240.0,IN,EX,FT,In-person,MX,S
2020,Data Scientist,Data Science,JPY,31236,293.6184,DE,EN,FL,In-person,JP,L
2020,Machine Learning,ML/AI,EUR,97916,115540.87999999999,CN,SE,PT,Remote,DE,S
2021,Data Engineer,Data Engineer,EUR,135481,165286.82,MX,EX,PT,Remote,DE,S
